startID,stopID,startNode,stopNode,routes,distance
330,327,1001,1002,X1,4
327,467,1002:2005,1003:2006,X1:X2,9
467,161,1003:2006,1004:2007,X1:X2,4
161,310,1004:2007,1005:2008:3002,X1:X2:X3,7
310,148,1005,1006,X1,14
148,293,1006,1007,X1,17
359,342,2001,2002,X2,12
342,338,2002:4002,2003:4003,X2:X4,8
338,415,2003:4003,2004:4004,X2:X4,5
415,327,2004,2005,X2,8
310,438,2008:3002,2009:3003,X2:X3,10
438,426,2009,2010,X2,19
426,416,2010,2011,X2,22
438,436,3003,3004,X3,9
352,342,4001,4002,X4,16
415,411,4004,4005,X4,10
411,406,4005:6001,4006:6002,X4:X6,7
406,465,4006:6002,4007:6003,X4:X6,6
465,392,4007:6003,4008:6004,X4:X6,10
392,219,4008,4009,X4,7
219,378,4009,4010,X4,24
426,442,5001,5002,X5,12
392,360,6004,6005,X6,28
447,461,7001,7002,X7,20
461,462,7002,7003,X7,1
462,465,7003,7004,X7,8
465,467,7004,7005,X7,3
467,471,7005,7006,X7,3
209,199,A001,A003,A,12
203,199,A002,A003,A,9
199,192,A003,A005,A,13
195,192,A004,A005,A,4
192,184,A005,A006,A,12
184,139,A006,A007,A,9
139,175,A007,A008,A,4
175,174,A008,A009,A,2
174,169,A009,A010,A,8
169,167,A010:E009,A011:E008,A:E,4
167,166,A011:E008,A012:E007,A:E,2
166,162,A012:E007,A013:E006,A:E,7
162,161,A013,A014,A,2
161,151,A014:D009,A015:D010,A:D,15
151,148,A015,A016,A,5
148,143,A016,A017,A,11
278,279,E001:J001,E002:J002,E:J,1
279,258,E002,E003,E,4
258,267,E003:F002,E004:F003,E:F,14
267,277,E004,E005,E,17
277,162,E005,E006,E,2
169,171,E009,E010,E,2
58,32,D001,D002,D,26
32,26,D002:N003:R003,D003:N004:R004,D:N:R,12
26,230,D003,D004,D,10
230,167,D004:F009,D005:F008,D:F,2
167,229,D005:F008,F007,F,2
229,227,F007,D006:F006,F,3
227,225,D006:F006,D007:F005,D:F,3
225,277,D007,D008,D,1
277,161,D008,D009,D,2
151,219,D010,D011,D,3
219,210,D011,D012,D,23
254,258,F001,F002,F,6
267,223,F003,F004,F,11
223,225,F004,F005,F,4
230,233,F009,F010,F,3
233,174,F010,F011,F,5
174,236,F011,F012,F,2
236,243,F012:G002,F013:G001,F:G,17
243,57,F013,F014,F,25
57,58,F014:Q002,F015:Q001,F:Q,1
108,112,M001,M002,M,6
112,97,M002,M003,M,6
236,175,G002,G003,G,2
175,462,G003,G004,G,18
279,184,J002,J003,J,23
184,97,J003,J004,J,8
97,233,J004,J005,J,12
233,107,J005,J006,J,7
138,184,L001,L002,L,9
184,112,L002,L003,L,6
112,406,L003,L004,L,19
406,116,L004,L005,L,2
116,229,L005,F007,L,0
116,115,L005,L006,L,1
115,166,L006,A012,L,0
58,35,N001,N002,N,19
35,32,N002:R002,N003:R003,N:R,5
26,174,N004:R004,N005:R005,N:R,1
174,23,N005:R005,N006:R006,N:R,6
23,19,N006,N007,N,8
19,15,N007:Q006,N008:Q007,N:Q,5
15,227,N008:Q007,N009:Q008,N:Q,3
227,467,N009:Q008,N010:Q009,N:Q,1
467,9,N010:Q009,N011:Q010,N:Q,3
9,461,N011,N012,N,8
461,1,N012,N013,N,10
57,42,Q002,Q003,Q,24
42,338,Q003,Q004,Q,5
338,26,Q004,Q005,Q,2
26,19,Q005,Q006,Q,15
9,223,Q010,Q011,Q,3
223,475,Q011,Q012,Q,10
39,35,R001,R002,R,7
42,139,S001,S002,S,7
